temp,humid,weather,wind,amenity_temp,amenity_humid,aircon,action,cloth,label
1.313,0.532,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,1.406
0.891,0.434,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,0.984
1.172,0.532,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,1.406
1.489,1.219,0.622,-0.769,2.392,2.113,-0.083,-0.330,1.409,0.984
1.418,0.924,0.622,-0.769,1.315,0.281,-0.083,-0.330,1.409,1.406
1.278,0.826,0.622,1.240,0.237,0.281,-1.388,-0.330,1.409,1.458
1.278,1.022,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,1.458
0.258,1.317,0.622,1.240,-0.840,0.281,-1.388,-0.330,-0.733,0.457
-0.551,1.415,0.622,-0.769,-0.840,2.113,-1.388,-0.330,1.409,0.140
-1.078,1.513,0.622,-0.769,-0.840,0.281,-1.388,-0.330,1.409,-0.703
-0.129,-0.155,0.622,-0.769,0.237,0.281,-1.388,-0.330,1.409,-0.387
-0.269,1.415,0.622,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,-0.071
-0.586,1.513,0.622,1.240,-0.840,0.281,-0.083,-0.330,-0.733,-0.282
-0.832,1.120,0.622,1.240,-0.840,0.281,-0.083,-0.330,1.409,-0.282
-0.832,0.924,-2.535,1.240,-0.840,0.281,-0.083,-0.330,1.409,-0.282
-1.008,1.022,-2.535,1.240,-1.917,0.281,-0.083,-0.330,-0.733,0.246
-0.832,0.826,-2.535,1.240,-0.840,0.281,-0.083,-0.330,-0.733,-0.282
-0.445,1.022,-2.535,1.240,-0.840,0.281,-0.083,-0.330,-0.733,-0.123
0.328,0.728,-2.535,1.240,-0.840,0.281,-0.083,-0.330,-0.733,0.984
0.082,0.532,-2.535,1.240,-0.840,0.281,-0.083,-0.330,-0.733,0.246
0.293,0.826,-2.535,-0.769,0.237,0.281,-1.388,-0.330,-0.733,0.140
0.434,0.336,-2.535,-0.769,0.237,0.281,-1.388,-0.330,-0.733,0.351
0.363,1.022,-2.535,-0.769,0.237,0.281,-0.083,-0.330,-0.733,0.140
0.328,0.924,-0.957,-0.769,0.237,0.281,-0.083,-0.330,-0.733,0.140
0.117,1.219,-0.957,1.240,0.237,0.281,-1.388,-0.330,-0.733,-0.123
0.574,1.611,-0.957,-0.769,0.237,0.281,-1.388,-0.330,-0.733,0.457
0.891,1.513,-2.535,-0.769,0.237,0.281,-0.083,-0.330,-0.733,0.984
0.152,1.317,-2.535,-0.769,0.237,0.281,-0.083,-0.330,1.409,0.140
0.821,1.120,-2.535,-0.769,1.315,2.113,-0.083,-0.330,0.695,0.246
1.137,0.728,-2.535,-0.769,0.237,0.281,-0.083,-0.330,1.409,1.195
0.469,0.532,-2.535,1.240,0.237,0.281,-1.388,-0.330,-0.733,0.351
0.363,0.532,-2.535,1.240,-0.840,0.281,-0.083,-0.330,-0.733,0.984
0.047,0.139,-2.535,1.240,-0.840,0.281,-0.083,-0.330,1.409,0.246
0.504,0.041,0.622,-0.769,1.315,2.113,-1.388,-0.330,1.409,-0.282
1.031,0.237,0.622,-0.769,0.237,0.281,-0.083,-0.330,-0.733,1.195
0.258,0.336,0.622,-0.769,0.237,0.281,-0.083,-0.330,-0.733,0.140
-0.129,1.120,0.622,-0.769,-0.840,0.281,-0.083,-0.330,1.409,-0.282
0.047,1.219,0.622,-0.769,1.315,2.113,-1.388,-0.330,1.409,-0.598
-0.058,1.317,0.622,-0.769,-0.840,0.281,-1.388,-0.330,1.409,-0.176
0.012,1.709,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,-0.387
-0.199,1.317,0.622,1.240,-0.840,0.281,-0.083,-0.330,-0.733,0.404
-0.410,1.611,0.622,1.240,-0.840,0.281,-0.083,-0.330,1.409,-0.176
-0.480,2.298,-0.957,-0.769,2.392,0.281,-0.083,-0.330,1.409,-1.969
0.399,1.219,-0.957,-0.769,0.237,2.113,-1.388,-0.330,1.409,0.298
0.223,1.317,-0.957,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,0.404
0.469,1.317,-0.957,-0.769,0.237,0.281,-0.083,-0.330,-0.733,0.351
1.242,0.532,-0.957,1.240,0.237,0.281,-0.083,-0.330,-0.733,1.406
0.539,0.630,-0.957,1.240,0.237,0.281,-0.083,-0.330,-0.733,0.457
0.188,1.219,0.622,-0.769,0.237,0.281,-0.083,-0.330,-0.733,-0.071
1.664,1.219,0.622,-0.769,2.392,2.113,-0.083,-0.330,-0.733,0.984
1.313,0.826,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,1.406
1.207,1.120,0.622,1.240,1.315,0.281,-1.388,-0.330,-0.733,0.984
0.610,1.611,0.622,-0.769,0.237,2.113,-0.083,-0.330,1.409,0.667
0.293,1.807,0.622,-0.769,2.392,2.113,-1.388,-0.330,1.409,-0.703
1.067,1.513,0.622,-0.769,2.392,2.113,-1.388,-0.330,1.409,0.878
1.137,2.200,0.622,1.240,1.315,0.281,-1.388,-0.330,-0.733,0.878
0.645,2.003,0.622,1.240,0.237,0.281,-0.083,-0.330,-0.733,0.667
-0.234,1.513,0.622,-0.769,0.237,0.281,-0.083,-0.330,1.409,-0.703
0.680,-0.155,0.622,-0.769,0.237,0.281,-1.388,-0.330,1.409,0.667
0.926,-0.646,0.622,-0.769,1.315,0.281,-1.388,1.817,1.409,0.404
0.610,2.396,0.622,1.240,0.237,0.281,-1.388,3.964,-0.733,0.667
0.082,1.905,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,-0.123
-0.551,1.905,0.622,-0.769,0.237,2.113,-0.083,-0.330,1.409,-1.178
1.911,-2.117,0.622,-0.769,0.237,-1.550,-0.083,-0.330,0.695,2.249
0.258,-1.038,0.622,-0.769,-0.840,0.281,-0.083,-0.330,1.409,0.878
0.188,0.630,0.622,1.240,1.315,0.281,-1.388,1.817,-0.733,-0.703
-0.305,0.041,0.622,1.240,-0.840,0.281,-1.388,3.964,-0.733,0.246
0.012,0.826,0.622,-0.769,0.237,0.281,-0.083,-0.330,-0.733,-0.282
0.223,0.041,0.622,-0.769,0.237,0.281,-0.083,-0.330,1.409,0.140
0.891,-1.823,0.622,-0.769,-0.840,0.281,-0.083,-0.330,1.409,1.406
1.489,-2.313,0.622,-0.769,1.315,-1.550,-0.083,-0.330,1.409,0.984
2.086,-2.019,0.622,-0.769,1.315,-1.550,-0.083,1.817,-0.733,1.986
0.750,0.336,-0.957,1.240,0.237,0.281,-1.388,3.964,-0.733,0.667
-0.305,0.041,-0.957,-0.769,0.237,0.281,-0.083,-0.330,1.409,-0.282
0.996,-1.430,-0.957,-0.769,0.237,0.281,-0.083,-0.330,1.409,1.195
0.574,-0.547,-0.957,-0.769,0.237,0.281,-0.083,-0.330,1.409,0.667
0.785,-0.744,-0.957,-0.769,1.315,0.281,-0.083,1.817,1.409,0.404
0.856,0.728,-0.957,-0.769,0.237,0.281,-0.083,-0.330,-0.733,0.667
-0.058,1.022,-0.957,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,-0.176
0.328,0.924,-0.957,1.240,0.237,0.281,-1.388,3.964,-0.733,0.140
-0.445,1.022,-0.957,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,-0.282
1.031,0.336,-0.957,-0.769,0.237,0.281,-1.388,-0.330,-0.733,1.195
0.891,0.336,-0.957,-0.769,0.237,0.281,-0.083,-0.330,-0.733,0.984
-0.164,0.434,-2.535,-0.769,-0.840,0.281,-1.388,-0.330,1.409,-0.176
0.504,-0.744,-0.957,1.240,-0.840,-1.550,-0.083,-0.330,1.409,0.667
-0.164,-0.842,-0.957,3.249,-1.917,-1.550,-0.083,-0.330,1.409,0.984
0.117,1.022,0.622,-0.769,0.237,0.281,-0.083,3.964,-0.733,-0.176
0.152,0.728,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,-0.123
-0.516,0.041,0.622,1.240,0.237,0.281,-1.388,-0.330,1.409,-0.176
-0.797,-1.332,0.622,1.240,-1.917,-1.550,-0.083,-0.330,1.409,0.404
-0.269,0.336,0.622,-0.769,-0.840,0.281,-1.388,3.964,1.409,-0.282
-0.375,0.630,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,-0.914
-0.656,-0.057,0.622,1.240,-0.840,0.281,-1.388,-0.330,1.409,-0.282
0.223,-1.627,0.622,-0.769,-0.840,-1.550,-0.083,-0.330,0.695,0.404
0.082,-0.646,0.622,-0.769,0.237,-1.550,-1.388,-0.330,-0.733,-0.282
0.117,-0.253,0.622,1.240,-0.840,-1.550,-1.388,-0.330,-0.733,0.404
0.047,-0.155,0.622,-0.769,0.237,0.281,-1.388,-0.330,-0.733,-0.282
0.012,-0.253,0.622,1.240,-0.840,-1.550,-1.388,-0.330,-0.733,0.246
-0.516,-0.155,0.622,1.240,-0.840,0.281,-1.388,-0.330,1.409,-0.176
0.188,-0.253,0.622,1.240,0.237,0.281,-1.388,-0.330,1.409,-0.071
0.012,-0.253,0.622,-0.769,-0.840,0.281,-1.388,-0.330,-0.733,0.246
-0.727,0.237,0.622,-0.769,-0.840,0.281,-1.388,-0.330,1.409,-0.282
0.082,-0.057,0.622,1.240,0.237,0.281,-1.388,1.817,-0.019,-0.176
-0.234,-0.547,0.622,-0.769,-0.840,0.281,-1.388,-0.330,-0.019,-0.282
0.574,-0.646,0.622,1.240,-0.840,0.281,-0.083,-0.330,-0.733,0.667
-0.164,-0.057,0.622,-0.769,0.237,0.281,1.222,-0.330,1.409,-0.598
0.223,-0.744,0.622,1.240,-0.840,-1.550,-0.083,-0.330,-0.733,0.404
-0.445,0.041,0.622,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,-0.282
0.047,-0.253,0.622,1.240,-0.840,0.281,1.222,-0.330,-0.733,0.404
0.610,-0.253,0.622,1.240,0.237,0.281,1.222,-0.330,-0.733,0.667
0.258,-0.253,0.622,1.240,-0.840,0.281,1.222,-0.330,-0.733,0.404
-0.375,0.237,0.622,-0.769,-0.840,0.281,-0.083,-0.330,1.409,-0.282
0.152,-0.744,0.622,-0.769,-0.840,-1.550,-0.083,-0.330,0.695,0.246
0.574,-1.136,0.622,-0.769,1.315,-1.550,-0.083,1.817,1.409,-0.176
0.645,0.630,0.622,1.240,0.237,0.281,-0.083,-0.330,-0.733,0.667
0.258,-0.057,0.622,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,0.404
0.012,0.728,0.622,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,0.404
0.680,0.237,0.622,1.240,0.237,0.281,1.222,-0.330,-0.733,0.667
0.574,-0.646,0.622,-0.769,0.237,-1.550,-0.083,1.817,1.409,0.667
-0.023,0.237,0.622,-0.769,0.237,0.281,1.222,-0.330,-0.733,-0.387
-0.023,-0.744,0.622,-0.769,-0.840,-1.550,-0.083,-0.330,-0.733,0.404
-0.305,-1.038,0.622,-0.769,-0.840,-1.550,-0.083,-0.330,-0.733,0.246
-0.973,-0.744,0.622,-0.769,-1.917,-1.550,-0.083,-0.330,-0.733,0.246
-1.500,0.434,0.622,-0.769,-1.917,0.281,-0.083,-0.330,-0.733,-0.282
-0.902,-1.038,0.622,-0.769,-1.917,-1.550,-0.083,-0.330,-0.733,-0.282
-1.887,0.630,0.622,-0.769,-1.917,0.281,-0.083,-0.330,1.409,-0.282
-0.480,0.826,0.622,-0.769,1.315,2.113,-0.083,-0.330,1.409,-1.442
-0.480,0.434,0.622,-0.769,-1.917,0.281,-0.083,-0.330,-0.733,0.246
-0.480,0.532,0.622,-0.769,-1.917,0.281,-0.083,-0.330,-0.733,0.246
-1.500,1.219,0.622,-0.769,-1.917,0.281,-0.083,-0.330,1.409,-0.282
1.383,-2.804,0.622,-0.769,2.392,-1.550,-0.083,-0.330,-0.733,0.984
-0.656,-0.351,0.622,-0.769,-1.917,0.281,-0.083,-0.330,-0.733,0.246
-1.676,0.924,0.622,-0.769,-1.917,0.281,-0.083,-0.330,1.409,-0.282
0.926,-2.019,0.622,-0.769,0.237,-1.550,-0.083,-0.330,1.409,0.984
-1.078,-0.744,0.622,-0.769,1.315,-1.550,-0.083,1.817,1.409,-2.233
0.539,-0.646,0.622,-0.769,0.237,-1.550,-0.083,1.817,-0.733,0.351
-0.797,-0.057,0.622,1.240,-0.840,0.281,-0.083,-0.330,-0.733,-0.282
-1.570,1.219,0.622,-0.769,-1.917,0.281,-0.083,-0.330,1.409,-0.282
1.418,-1.725,0.622,-0.769,2.392,-3.382,-0.083,-0.330,1.409,0.984
0.293,0.924,0.622,-0.769,0.237,0.281,-0.083,3.964,-0.733,0.140
-0.340,0.826,0.622,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,-0.282
-0.973,1.415,0.622,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,-0.282
-0.269,-0.253,0.622,-0.769,1.315,0.281,-0.083,1.817,1.409,-1.336
-0.058,1.317,-0.957,-0.769,-1.917,0.281,-0.083,-0.330,-0.733,0.246
-0.551,1.317,-0.957,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,-0.282
0.399,1.120,-0.957,-0.769,1.315,2.113,-0.083,-0.330,-0.733,-0.123
0.082,0.826,-0.957,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,0.404
-0.797,0.336,0.622,-0.769,-0.840,0.281,-0.083,-0.330,1.409,-0.282
-0.234,0.826,-0.957,-0.769,0.237,0.281,-0.083,3.964,-0.733,-0.651
-0.234,1.120,-0.957,-0.769,-0.840,0.281,1.222,-0.330,-0.733,-0.282
-0.445,0.532,-0.957,1.240,-0.840,0.281,1.222,3.964,-0.733,-0.282
-0.234,0.336,-0.957,-0.769,-0.840,0.281,1.222,-0.330,-0.733,-0.282
-1.957,1.317,0.622,-0.769,-1.917,0.281,-0.083,-0.330,-0.733,0.246
-0.058,-0.547,0.622,-0.769,-0.840,-1.550,1.222,-0.330,-0.733,-0.123
0.047,-0.155,-0.957,-0.769,0.237,0.281,-0.083,1.817,-0.733,-0.176
-0.375,-0.155,-0.957,1.240,-0.840,-1.550,-0.083,-0.330,-0.733,-0.282
-0.762,0.336,0.622,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,-0.703
-1.008,0.336,0.622,1.240,-1.917,0.281,-0.083,-0.330,-0.733,-0.282
0.856,-1.823,0.622,-0.769,1.315,-1.550,-0.083,1.817,1.409,0.246
-0.094,0.336,0.622,1.240,0.237,0.281,1.222,-0.330,-0.733,-0.387
-1.324,0.924,0.622,1.240,-1.917,0.281,1.222,-0.330,-0.733,0.246
-0.691,0.041,-0.957,1.240,-1.917,0.281,1.222,-0.330,-0.733,-0.123
-0.551,0.139,-0.957,1.240,0.237,0.281,-0.083,-0.330,-0.733,-0.282
-0.727,0.434,-2.535,1.240,-1.917,0.281,1.222,-0.330,-0.733,-0.282
-0.762,0.336,-2.535,-0.769,0.237,0.281,1.222,-0.330,1.409,-0.703
0.645,-0.253,0.622,-0.769,1.315,0.281,-0.083,1.817,1.409,-0.229
-0.094,0.237,0.622,-0.769,0.237,0.281,1.222,-0.330,0.695,-0.387
0.047,0.139,-0.957,-0.769,0.237,0.281,-0.083,-0.330,-0.733,-0.282
-0.762,0.237,-0.957,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,-0.282
-0.762,0.826,-2.535,-0.769,-0.840,0.281,-0.083,-0.330,-0.733,-0.282
-0.551,1.120,-2.535,-0.769,-0.840,0.281,1.222,-0.330,-0.733,-0.282
-0.410,0.728,-2.535,-0.769,0.237,0.281,1.222,-0.330,-0.733,-0.703
-1.359,0.924,0.622,-0.769,-0.840,0.281,-0.083,-0.330,1.409,-0.282
-0.516,0.237,0.622,-0.769,-0.840,0.281,1.222,-0.330,-0.733,-0.282
-0.305,0.139,-0.957,-0.769,-0.840,-1.550,1.222,-0.330,-0.733,-0.282
-1.606,-0.547,-0.957,-0.769,0.237,-1.550,-0.083,-0.330,1.409,-0.123
