temp,humid,weather,wind,amenity_temp,amenity_humid,aircon,action,cloth,label
-1.535,-0.646,0.622,1.240,-0.840,0.281,1.222,-0.330,-0.733,-1.653
-0.867,-0.646,0.622,-0.769,0.237,0.281,1.222,-0.330,-0.733,-1.653
-0.305,-0.744,0.622,1.240,0.237,0.281,1.222,-0.330,-0.733,-0.809
-0.762,-0.940,0.622,-0.769,0.237,-1.550,1.222,-0.330,-0.733,-1.442
-0.621,-0.449,0.622,1.240,0.237,0.281,1.222,-0.330,-0.733,-1.283
-0.902,-1.234,0.622,-0.769,-0.840,-1.550,1.222,-0.330,-0.733,-0.651
-1.254,-1.038,-0.957,-0.769,-1.917,-1.550,1.222,-0.330,-0.733,-0.282
-0.762,-1.234,-0.957,-0.769,0.237,-1.550,1.222,-0.330,-0.733,-1.442
-0.762,-1.332,0.622,-0.769,0.237,0.281,-0.083,-0.330,-0.733,-1.442
-0.902,-1.430,0.622,1.240,0.237,0.281,1.222,-0.330,-0.733,-1.705
-1.008,-1.528,0.622,1.240,-0.840,-1.550,1.222,-0.330,-0.733,-1.283
-0.375,-2.117,-0.957,-0.769,0.237,0.281,1.222,-0.330,1.409,-0.914
-0.867,-0.253,-0.957,-0.769,0.237,0.281,1.222,-0.330,-0.733,-1.653
-0.902,-1.038,0.622,-0.769,0.237,0.281,1.222,-0.330,-0.733,-1.705
-1.219,-1.136,0.622,-0.769,-0.840,-1.550,1.222,-0.330,-0.733,-1.283
-0.762,-1.528,0.622,-0.769,0.237,0.281,1.222,-0.330,-0.733,-1.494
-0.586,-1.234,0.622,1.240,0.237,0.281,1.222,-0.330,-0.733,-1.231
-0.762,-1.136,0.622,1.240,-0.840,-1.550,1.222,-0.330,-0.733,-0.914
-0.621,-1.136,0.622,1.240,0.237,0.281,1.222,-0.330,-0.733,-1.283
-0.410,-0.351,0.622,1.240,0.237,0.281,-0.083,1.817,-0.733,-0.967
-0.691,-0.449,0.622,1.240,0.237,0.281,1.222,-0.330,-0.733,-1.389
0.856,-2.804,0.622,-0.769,1.315,0.281,1.222,-0.330,1.409,-0.282
-0.445,-1.136,0.622,-0.769,0.237,0.281,1.222,-0.330,-0.733,-1.020
-1.746,-1.038,-0.957,-0.769,0.237,0.281,1.222,-0.330,1.409,-2.971
-1.008,-1.136,0.622,-0.769,0.237,0.281,-0.083,1.817,1.409,-1.863
-0.902,-1.234,0.622,-0.769,0.237,-1.550,1.222,-0.330,-0.733,-1.653
-1.113,-1.234,0.622,-0.769,-0.840,-1.550,-0.083,-0.330,-0.733,-1.283
-0.973,-0.940,0.622,-0.769,-0.840,0.281,1.222,-0.330,-0.733,-1.283
-0.094,-1.921,-0.957,-0.769,0.237,-1.550,1.222,-0.330,1.409,-0.493
